id,vendor_id,all_prices_available,auth_for_buy_enable,title_translations
3,24,t,f,"""en""=>""Unauthenticated"""
4,24,t,f,"""en""=>""Registered"""
9,27,t,f,"""en""=>""Unauthenticated"""
10,27,t,f,"""en""=>""Registered"""
13,29,t,f,"""en""=>""Unauthenticated"""
14,29,t,f,"""en""=>""Registered"""
21,33,t,f,"""en""=>""Unauthenticated"""
22,33,t,f,"""en""=>""Registered"""
27,36,t,f,"""en""=>""Unauthenticated"""
28,36,t,f,"""en""=>""Registered"""
31,38,t,f,"""en""=>""Unauthenticated"""
32,38,t,f,"""en""=>""Registered"""
33,39,t,f,"""en""=>""Unauthenticated"""
34,39,t,f,"""en""=>""Registered"""
35,40,t,f,"""en""=>""Unauthenticated"""
36,40,t,f,"""en""=>""Registered"""
280,162,t,f,"""en""=>""Unauthenticated"", ""ar_SA""=>""غير مصدق"""
281,162,t,f,"""en""=>""Registered"", ""ar_SA""=>""مسجل"""
