id,unit_type,key,vendor_id,created_at,updated_at,title_translations,short_translations
3,indivisible,pcs,24,2020-09-22 23:41:24.541643,2020-10-01 21:25:35.929981,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
5,indivisible,pcs,27,2020-09-22 23:41:24.553386,2020-10-01 21:25:35.934272,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
7,indivisible,pcs,29,2020-09-22 23:41:24.564467,2020-10-01 21:25:35.937987,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
9,indivisible,pcs,33,2020-09-22 23:41:24.575275,2020-10-01 21:25:35.942242,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
11,indivisible,pcs,36,2020-09-22 23:41:24.585802,2020-10-01 21:25:35.946544,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
13,indivisible,pcs,38,2020-09-22 23:41:24.600493,2020-10-01 21:25:35.950434,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
15,indivisible,pcs,39,2020-09-22 23:41:24.614822,2020-10-01 21:25:35.954212,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
4,divisible,kg,24,2020-09-22 23:41:24.546015,2020-10-01 21:25:53.513305,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
6,divisible,kg,27,2020-09-22 23:41:24.557458,2020-10-01 21:25:53.51755,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
8,divisible,kg,29,2020-09-22 23:41:24.568428,2020-10-01 21:25:53.520992,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
10,divisible,kg,33,2020-09-22 23:41:24.579123,2020-10-01 21:25:53.524091,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
12,divisible,kg,36,2020-09-22 23:41:24.589607,2020-10-01 21:25:53.527111,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
14,divisible,kg,38,2020-09-22 23:41:24.604295,2020-10-01 21:25:53.53019,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
16,divisible,kg,39,2020-09-22 23:41:24.618791,2020-10-01 21:25:53.532749,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
18,divisible,kg,40,2020-09-22 23:41:24.630065,2020-10-01 21:25:53.5356,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
161,indivisible,pcs,162,2020-09-22 23:41:25.628355,2020-10-01 21:25:36.175463,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
162,divisible,kg,162,2020-09-22 23:41:25.633687,2020-10-01 21:25:53.933242,"""en""=>""Kilograms"", ""ar_SA""=>""translation missing: ar_SA.units.kg.title""","""en""=>""kg"", ""ar_SA""=>""translation missing: ar_SA.units.kg.short"""
17,indivisible,pcs,40,2020-09-22 23:41:24.625985,2020-10-01 21:25:35.958313,"""en""=>""Pieces"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.title""","""en""=>""pcs"", ""ar_SA""=>""translation missing: ar_SA.units.pcs.short"""
