id,key,vendor_id,created_at,updated_at,title_translations,can_connect_external_devices,can_change_language,can_logout,can_read_last_orders_count,can_logout_after_create_order
4,owner,24,2019-02-28 07:00:07.83319,2019-02-28 07:00:07.83319,"""en""=>""Owner""",t,t,t,,t
5,manager,24,2019-02-28 07:00:07.834827,2019-02-28 07:00:07.834827,"""en""=>""Administrator""",t,t,t,,t
6,guest,24,2019-02-28 07:00:07.836026,2019-02-28 07:00:07.836026,"""en""=>""Guest""",t,t,t,,t
13,owner,27,2019-02-28 07:01:40.979551,2019-02-28 07:01:40.979551,"""en""=>""Owner""",t,t,t,,t
14,manager,27,2019-02-28 07:01:40.981368,2019-02-28 07:01:40.981368,"""en""=>""Administrator""",t,t,t,,t
15,guest,27,2019-02-28 07:01:40.982889,2019-02-28 07:01:40.982889,"""en""=>""Guest""",t,t,t,,t
19,owner,29,2019-02-28 10:16:19.813416,2019-02-28 10:16:19.813416,"""en""=>""Owner""",t,t,t,,t
20,manager,29,2019-02-28 10:16:19.814626,2019-02-28 10:16:19.814626,"""en""=>""Administrator""",t,t,t,,t
21,guest,29,2019-02-28 10:16:19.815872,2019-02-28 10:16:19.815872,"""en""=>""Guest""",t,t,t,,t
31,owner,33,2019-02-28 10:19:40.88917,2019-02-28 10:19:40.88917,"""en""=>""Owner""",t,t,t,,t
32,manager,33,2019-02-28 10:19:40.89029,2019-02-28 10:19:40.89029,"""en""=>""Administrator""",t,t,t,,t
33,guest,33,2019-02-28 10:19:40.891243,2019-02-28 10:19:40.891243,"""en""=>""Guest""",t,t,t,,t
40,owner,36,2019-02-28 10:49:58.992431,2019-02-28 10:49:58.992431,"""en""=>""Owner""",t,t,t,,t
41,manager,36,2019-02-28 10:49:58.997197,2019-02-28 10:49:58.997197,"""en""=>""Administrator""",t,t,t,,t
42,guest,36,2019-02-28 10:49:59.000003,2019-02-28 10:49:59.000003,"""en""=>""Guest""",t,t,t,,t
46,owner,38,2019-02-28 10:53:52.706954,2019-02-28 10:53:52.706954,"""en""=>""Owner""",t,t,t,,t
47,manager,38,2019-02-28 10:53:52.708318,2019-02-28 10:53:52.708318,"""en""=>""Administrator""",t,t,t,,t
48,guest,38,2019-02-28 10:53:52.70943,2019-02-28 10:53:52.70943,"""en""=>""Guest""",t,t,t,,t
49,owner,39,2019-02-28 11:25:04.158557,2019-02-28 11:25:04.158557,"""en""=>""Owner""",t,t,t,,t
50,manager,39,2019-02-28 11:25:04.159927,2019-02-28 11:25:04.159927,"""en""=>""Administrator""",t,t,t,,t
51,guest,39,2019-02-28 11:25:04.160807,2019-02-28 11:25:04.160807,"""en""=>""Guest""",t,t,t,,t
52,owner,40,2019-02-28 11:27:42.561134,2019-02-28 11:27:42.561134,"""en""=>""Owner""",t,t,t,,t
53,manager,40,2019-02-28 11:27:42.563001,2019-02-28 11:27:42.563001,"""en""=>""Administrator""",t,t,t,,t
54,guest,40,2019-02-28 11:27:42.564522,2019-02-28 11:27:42.564522,"""en""=>""Guest""",t,t,t,,t
418,owner,162,2019-12-11 12:12:57.486325,2019-12-11 12:12:57.486325,"""en""=>""Owner"", ""ar_SA""=>""المالك""",t,t,t,,t
419,manager,162,2019-12-11 12:12:57.488799,2019-12-11 12:12:57.488799,"""en""=>""Administrator"", ""ar_SA""=>""مدير""",t,t,t,,t
420,guest,162,2019-12-11 12:12:57.490525,2019-12-11 12:12:57.490525,"""en""=>""Guest"", ""ar_SA""=>""ضيف""",t,t,t,,t
