id,stock_title,key,vendor_id,created_at,updated_at,is_used_in_product,is_used_in_item,position_in_item,position_in_product,ms_uuid,type,archived_at,externalcode,stock_synced_at,description,is_required,dictionary_id,is_active,stock_description,show_in_filter,use_in_short_details,custom_title_translations,cached_title_translations,position,uuid
1,,size,24,2019-02-28 07:01:40.428248,2019-02-28 07:01:40.428248,t,t,0,0,,PropertyDictionary,,,,,f,1,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,d7bd4aaa-18ea-4e56-8066-e7d9147d4a89
2,,color,24,2019-02-28 07:01:40.585269,2019-02-28 07:01:40.585269,t,t,0,0,,PropertyDictionary,,,,,f,2,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,f18d5d19-3213-4acd-9bf7-1812f757d683
3,,brand,24,2019-02-28 07:01:40.628085,2019-02-28 07:01:40.628085,t,t,0,0,,PropertyDictionary,,,,,f,3,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,f7fa02a7-3c16-423c-9ca9-f675f316c7ea
19,,size,27,2019-02-28 10:19:40.407589,2019-02-28 10:19:40.407589,t,t,0,0,,PropertyDictionary,,,,,f,19,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,8c4243d2-8555-468c-b450-4e4e6e5f7d1f
20,,color,27,2019-02-28 10:19:40.587256,2019-02-28 10:19:40.587256,t,t,0,0,,PropertyDictionary,,,,,f,20,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,56c63af5-b4fe-4a40-bab9-c50f03538f0e
21,,brand,27,2019-02-28 10:19:40.649345,2019-02-28 10:19:40.649345,t,t,0,0,,PropertyDictionary,,,,,f,21,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,e5dc65e5-8beb-4311-a23c-edd8f9a8f46c
34,,size,29,2019-02-28 10:53:52.032044,2019-02-28 10:53:52.032044,t,t,0,0,,PropertyDictionary,,,,,f,34,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,3a00a40d-3ff9-4796-97c4-fc924c01b342
35,,color,29,2019-02-28 10:53:52.213848,2019-02-28 10:53:52.213848,t,t,0,0,,PropertyDictionary,,,,,f,35,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,fc58ef9c-05a4-422b-857d-d2f47a3507f1
36,,brand,29,2019-02-28 10:53:52.277699,2019-02-28 10:53:52.277699,t,t,0,0,,PropertyDictionary,,,,,f,36,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,652d10d1-92ca-4990-a79c-3996abbc12ab
37,,size,33,2019-02-28 11:25:03.543203,2019-02-28 11:25:03.543203,t,t,0,0,,PropertyDictionary,,,,,f,37,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,f0577b1f-e138-4ebc-9254-649a2ead7c60
38,,color,33,2019-02-28 11:25:03.643299,2019-02-28 11:25:03.643299,t,t,0,0,,PropertyDictionary,,,,,f,38,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,3dd3da3a-84c4-4855-af7b-29bb94456840
39,,brand,33,2019-02-28 11:25:03.677137,2019-02-28 11:25:03.677137,t,t,0,0,,PropertyDictionary,,,,,f,39,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,e66facda-d5b3-418f-be86-7cba5c4cc477
40,,color,39,2019-02-28 11:25:04.564445,2019-02-28 11:25:04.564445,t,t,0,0,,PropertyDictionary,,,,,f,41,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,6803d75a-1abd-498e-a2a6-de22cf379db2
41,,brand,39,2019-02-28 11:25:04.569692,2019-02-28 11:25:04.569692,t,t,0,0,,PropertyDictionary,,,,,f,40,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,d6fe629a-1fca-4e56-9c61-1ea360bb1875
42,,size,39,2019-02-28 11:25:04.574339,2019-02-28 11:25:04.574339,t,t,0,0,,PropertyDictionary,,,,,f,42,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,70545769-bed6-40c0-aad8-828d3d7fb404
43,,size,36,2019-02-28 11:27:41.789128,2019-02-28 11:27:41.789128,t,t,0,0,,PropertyDictionary,,,,,f,43,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,fc674cd5-6416-46c3-a158-14434dbde8c0
44,,color,36,2019-02-28 11:27:41.978342,2019-02-28 11:27:41.978342,t,t,0,0,,PropertyDictionary,,,,,f,44,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,ba9e169e-94ce-4899-ba06-8c519c966b0f
45,,brand,36,2019-02-28 11:27:42.030435,2019-02-28 11:27:42.030435,t,t,0,0,,PropertyDictionary,,,,,f,45,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,b7e46225-3253-44a4-94bb-1ccc3cbdca78
46,,color,40,2019-02-28 11:27:43.104192,2019-02-28 11:27:43.104192,t,t,0,0,,PropertyDictionary,,,,,f,47,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,f335a6e5-3dea-4740-b7a8-40c82538592f
47,,brand,40,2019-02-28 11:27:43.110183,2019-02-28 11:27:43.110183,t,t,0,0,,PropertyDictionary,,,,,f,46,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,876be6d1-f235-40db-9c55-de2e07c7275b
48,,size,40,2019-02-28 11:27:43.114791,2019-02-28 11:27:43.114791,t,t,0,0,,PropertyDictionary,,,,,f,48,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,46209d83-d899-4a8b-a78a-f612b95bcc81
49,,size,38,2019-02-28 11:57:50.230026,2019-02-28 11:57:50.230026,t,t,0,0,,PropertyDictionary,,,,,f,49,t,,t,t,"""en""=>""Size""","""en""=>""Size""",2796203,8b283d05-a2c5-4378-b2ec-d7fb4117212c
50,,color,38,2019-02-28 11:57:50.411666,2019-02-28 11:57:50.411666,t,t,0,0,,PropertyDictionary,,,,,f,50,t,,t,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,de832cfe-4e47-4d3d-9f01-b85cbd99ad95
51,,brand,38,2019-02-28 11:57:50.480742,2019-02-28 11:57:50.480742,t,t,0,0,,PropertyDictionary,,,,,f,51,t,,t,t,"""en""=>""Brand""","""en""=>""Brand""",0,ba3d9c7f-df82-42a1-a892-f4d6797f6d96
427,,color,162,2019-12-11 12:12:58.403262,2020-05-25 09:06:32.348686,t,t,0,0,,PropertyDictionary,,,,,f,424,t,,f,t,"""en""=>""Colour""","""en""=>""Colour""",-2796202,33da612f-45ff-4d7d-9dbf-0fbbbf400f17
428,,brand,162,2019-12-11 12:12:58.412907,2020-05-25 09:06:32.351249,t,t,0,0,,PropertyDictionary,,,,,f,423,t,,f,t,"""en""=>""Brand""","""en""=>""Brand""",0,31237230-e1a7-4242-87a6-8c0fac91db23
429,,size,162,2019-12-11 12:12:58.422285,2020-05-25 09:06:32.352962,t,t,0,0,,PropertyDictionary,,,,,f,425,t,,f,t,"""en""=>""Size""","""en""=>""Size""",2796203,dd6cdd95-1a9d-4f4c-9970-a8b893c5d1a4
